image_name,x_centers,y_centers,widths,heights
10.png,0.70751953125;0.49365234375;0.8251953125;0.53857421875;0.34619140625;0.82177734375;0.10546875;0.546875;0.73974609375;0.52783203125;0.4267578125,0.16080729166666666;0.841796875;0.6744791666666666;0.279296875;0.623046875;0.6145833333333334;0.6119791666666666;0.6822916666666666;0.845703125;0.4654947916666667;0.94921875,0.0576171875;0.0576171875;0.056640625;0.0556640625;0.0556640625;0.0556640625;0.0546875;0.0546875;0.0537109375;0.0537109375;0.052734375,0.07682291666666667;0.07682291666666667;0.07552083333333333;0.07421875;0.07421875;0.07291666666666667;0.07291666666666667;0.07291666666666667;0.07161458333333333;0.07161458333333333;0.0703125
11.png,0.9396875;0.8096875;0.47125;0.8440625;0.7175;0.7003125;0.4975;0.389375;0.1278125;0.67875,0.29278445883441256;0.5624421831637373;0.72895467160037;0.16419981498612396;0.5023126734505088;0.5786308973172988;0.6225716928769658;0.16651248843663274;0.7534690101757632;0.11193339500462535,0.058125;0.058125;0.0575;0.054375;0.05375;0.053125;0.0525;0.05125;0.050625;0.05,0.08603145235892692;0.0851063829787234;0.0851063829787234;0.08048103607770583;0.07955596669750231;0.0786308973172988;0.07770582793709528;0.07585568917668825;0.07493061979648474;0.07400555041628122
12.png,0.7215625;0.8209375;0.2571875;0.2190625;0.3578125;0.653125;0.5278125;0.235;0.78125;0.625625;0.965625,0.31333333333333335;0.4076923076923077;0.221025641025641;0.06307692307692307;0.7;0.9312820512820513;0.07230769230769231;0.2;0.796923076923077;0.3035897435897436;0.7497435897435898,0.059375;0.054375;0.054375;0.054375;0.054375;0.0525;0.051875;0.05;0.05;0.05;0.05,0.09743589743589744;0.08923076923076922;0.08923076923076922;0.08923076923076922;0.08923076923076922;0.08615384615384615;0.08512820512820513;0.08205128205128205;0.08205128205128205;0.08205128205128205;0.08205128205128205
13.png,0.2223264540337711;0.28142589118198874;0.723264540337711;0.43058161350844276;0.9015009380863039;0.6050656660412758;0.8377110694183865;0.7654784240150094;0.4896810506566604;0.801125703564728;0.7307692307692307;0.5037523452157598,0.1983729662077597;0.17647058823529413;0.9392991239048811;0.6652065081351689;0.49499374217772213;0.040675844806007506;0.14080100125156444;0.7321652065081352;0.30037546933667086;0.5894868585732165;0.6789737171464331;0.42991239048811014,0.058161350844277676;0.05628517823639775;0.054409005628517824;0.054409005628517824;0.054409005628517824;0.054409005628517824;0.054409005628517824;0.0525328330206379;0.0525328330206379;0.0525328330206379;0.05065666041275797;0.05065666041275797,0.03879849812265332;0.03754693366708386;0.03629536921151439;0.03629536921151439;0.03629536921151439;0.03629536921151439;0.03629536921151439;0.03504380475594493;0.03504380475594493;0.03504380475594493;0.03379224030037547;0.03379224030037547
14.png,0.926875;0.924375;0.5875;0.31125;0.284375;0.52625;0.1825,0.646875;0.576875;0.88375;0.77;0.360625;0.20875;0.368125,0.05625;0.05625;0.055;0.055;0.05375;0.0525;0.05,0.05625;0.05625;0.055;0.055;0.05375;0.0525;0.04875
15.png,0.053125;0.329375;0.868125;0.648125;0.764375;0.139375;0.564375;0.29125;0.708125;0.779375;0.230625,0.213125;0.210625;0.418125;0.070625;0.116875;0.913125;0.340625;0.9375;0.183125;0.553125;0.708125,0.05875;0.05875;0.05875;0.05875;0.05875;0.05625;0.05625;0.055;0.05375;0.05375;0.05125,0.05875;0.05875;0.05875;0.05875;0.05875;0.05625;0.05625;0.055;0.05375;0.05375;0.05125
16.png,0.24462890625;0.64599609375;0.78857421875;0.45849609375;0.666015625;0.830078125;0.55126953125;0.13427734375;0.91357421875;0.4423828125,0.573076923076923;0.5946153846153847;0.8746153846153846;0.5815384615384616;0.09692307692307692;0.3923076923076923;0.11615384615384615;0.12846153846153846;0.10384615384615385;0.8076923076923077,0.0595703125;0.0576171875;0.0556640625;0.0556640625;0.052734375;0.052734375;0.0517578125;0.0517578125;0.0517578125;0.05078125,0.09384615384615384;0.09076923076923077;0.0876923076923077;0.08615384615384615;0.08307692307692308;0.08307692307692308;0.08153846153846153;0.08153846153846153;0.08153846153846153;0.08
17.png,0.905625;0.7225;0.60125;0.915625;0.245625;0.481875;0.4625,0.6089385474860335;0.7299813780260708;0.4245810055865922;0.2877094972067039;0.17039106145251395;0.08286778398510242;0.055865921787709494,0.05875;0.055;0.055;0.05375;0.05375;0.05125;0.05,0.0856610800744879;0.08193668528864059;0.08193668528864059;0.08007448789571694;0.08007448789571694;0.07635009310986965;0.074487895716946
18.png,0.3543799772468714;0.3873720136518771;0.3742889647326507;0.3725824800910125;0.8293515358361775;0.3572241183162685;0.27417519908987487;0.39533560864618883,0.3703071672354949;0.3452787258248009;0.5779294653014789;0.1951080773606371;0.4323094425483504;0.18543799772468714;0.5688282138794084;0.9141069397042093,0.05802047781569966;0.05802047781569966;0.05688282138794084;0.055745164960182024;0.05460750853242321;0.05460750853242321;0.05233219567690557;0.051194539249146756,0.05802047781569966;0.05802047781569966;0.05688282138794084;0.055745164960182024;0.05460750853242321;0.05460750853242321;0.05233219567690557;0.051194539249146756
19.png,0.7546875;0.88984375;0.6265625;0.22421875;0.63828125;0.0890625;0.365625;0.93125;0.50078125;0.765625,0.5292740046838408;0.7014051522248244;0.7903981264637002;0.870023419203747;0.24355971896955503;0.30210772833723654;0.3044496487119438;0.1451990632318501;0.14402810304449648;0.8056206088992974,0.059375;0.0578125;0.05625;0.0546875;0.0546875;0.053125;0.053125;0.053125;0.0515625;0.05,0.08899297423887588;0.08665105386416862;0.08196721311475409;0.08196721311475409;0.07962529274004684;0.07962529274004684;0.07962529274004684;0.07962529274004684;0.07728337236533958;0.07494145199063232
20.png,0.604375;0.420625;0.209375;0.803125;0.3375;0.2375;0.143125;0.875625;0.356875;0.120625,0.225625;0.223125;0.606875;0.843125;0.10875;0.58;0.355625;0.485625;0.72;0.869375,0.05875;0.05875;0.05625;0.05625;0.055;0.055;0.05375;0.05375;0.05375;0.05125,0.05875;0.05875;0.05625;0.05625;0.055;0.055;0.05375;0.05375;0.0525;0.05125
21.png,0.41875;0.8425;0.736875;0.360625;0.74125;0.50125;0.945;0.16125,0.35875;0.05125;0.721875;0.82875;0.79375;0.18125;0.40875;0.555,0.0575;0.055;0.05375;0.05375;0.0525;0.0525;0.0525;0.05,0.0575;0.055;0.05375;0.0525;0.0525;0.0525;0.0525;0.05
22.png,0.04409005628517824;0.12851782363977485;0.08724202626641651;0.773921200750469;0.09380863039399624;0.5553470919324578;0.03283302063789869;0.03283302063789869;0.09287054409005628;0.5168855534709194;0.948405253283302,0.4899874843554443;0.6514392991239049;0.8204005006257822;0.4612015018773467;0.6082603254067585;0.1964956195244055;0.7215269086357947;0.7190237797246558;0.40863579474342926;0.21714643304130163;0.188360450563204,0.058161350844277676;0.058161350844277676;0.058161350844277676;0.058161350844277676;0.05628517823639775;0.05628517823639775;0.054409005628517824;0.05065666041275797;0.05065666041275797;0.05065666041275797;0.05065666041275797,0.03879849812265332;0.03879849812265332;0.03879849812265332;0.03879849812265332;0.03754693366708386;0.03754693366708386;0.03629536921151439;0.03379224030037547;0.03379224030037547;0.03379224030037547;0.03379224030037547
23.png,0.03857421875;0.21435546875;0.91552734375;0.04931640625;0.21923828125;0.22705078125;0.85693359375;0.36669921875;0.46826171875;0.17578125;0.58056640625,0.685546875;0.7532552083333334;0.5865885416666666;0.630859375;0.3671875;0.6412760416666666;0.7194010416666666;0.861328125;0.2766927083333333;0.5846354166666666;0.14388020833333334,0.0595703125;0.0576171875;0.0576171875;0.0576171875;0.0576171875;0.0556640625;0.0556640625;0.0537109375;0.0537109375;0.052734375;0.0517578125,0.07942708333333333;0.07682291666666667;0.07682291666666667;0.07682291666666667;0.07552083333333333;0.07421875;0.07421875;0.07161458333333333;0.07161458333333333;0.0703125;0.06901041666666667
24.png,0.56;0.95375;0.624375;0.6075;0.358125;0.341875;0.273125;0.10375;0.67875,0.26;0.106875;0.423125;0.50125;0.448125;0.076875;0.120625;0.41;0.34625,0.0575;0.0575;0.05625;0.055;0.05125;0.05125;0.05125;0.05;0.05,0.0575;0.05625;0.05625;0.055;0.05125;0.05125;0.05125;0.05;0.05
25.png,0.7334375;0.2840625;0.121875;0.848125;0.4084375;0.4321875;0.88;0.205625,0.6419811320754717;0.8070754716981132;0.48867924528301887;0.13679245283018868;0.9466981132075472;0.3287735849056604;0.15566037735849056;0.8490566037735849,0.058125;0.056875;0.05625;0.05625;0.055625;0.054375;0.05375;0.0525,0.08773584905660377;0.08584905660377358;0.08490566037735849;0.08490566037735849;0.08396226415094339;0.0820754716981132;0.08113207547169811;0.07924528301886792
26.png,0.4625;0.81796875;0.86484375;0.39375;0.74296875;0.24765625;0.690625,0.4918032786885246;0.28454332552693207;0.09484777517564402;0.21779859484777517;0.4274004683840749;0.4648711943793911;0.8852459016393442,0.059375;0.0578125;0.0578125;0.053125;0.0515625;0.0515625;0.05,0.08899297423887588;0.08665105386416862;0.08665105386416862;0.07962529274004684;0.07728337236533958;0.07728337236533958;0.07494145199063232
27.png,0.94384765625;0.33544921875;0.66357421875;0.2724609375;0.572265625;0.87255859375;0.3330078125;0.8701171875;0.7255859375;0.708984375;0.68408203125;0.14404296875,0.91064453125;0.76708984375;0.27001953125;0.0927734375;0.7666015625;0.93212890625;0.849609375;0.5;0.5078125;0.8525390625;0.58984375;0.61376953125,0.0576171875;0.0576171875;0.0576171875;0.056640625;0.0546875;0.0537109375;0.052734375;0.052734375;0.052734375;0.052734375;0.0517578125;0.0498046875,0.0576171875;0.0576171875;0.0576171875;0.056640625;0.0546875;0.0537109375;0.052734375;0.052734375;0.052734375;0.052734375;0.05078125;0.0498046875
28.png,0.298125;0.2775;0.125;0.924375;0.42875;0.921875;0.819375;0.60125,0.099375;0.4175;0.97125;0.925625;0.95875;0.096875;0.450625;0.195,0.05875;0.0575;0.055;0.05375;0.0525;0.05125;0.05125;0.05,0.05875;0.0575;0.055;0.05375;0.0525;0.05125;0.05125;0.05
29.png,0.3828125;0.7896875;0.121875;0.3284375;0.93875;0.1909375;0.5828125;0.66375;0.5559375,0.9263602251407129;0.15525328330206378;0.7340525328330206;0.8888367729831145;0.6397748592870544;0.4272983114446529;0.16604127579737335;0.8283302063789869;0.14868667917448405,0.059375;0.059375;0.0575;0.056875;0.055;0.053125;0.051875;0.05125;0.050625,0.08911819887429644;0.08911819887429644;0.08536585365853659;0.08536585365853659;0.0825515947467167;0.07973733583489681;0.07692307692307693;0.07692307692307693;0.07598499061913697
30.png,0.811875;0.20625;0.290625;0.6025;0.38125;0.6575;0.655625,0.7248134328358209;0.8843283582089553;0.10354477611940298;0.6884328358208955;0.9104477611940298;0.4430970149253731;0.7901119402985075,0.05875;0.0575;0.05625;0.055;0.0525;0.0525;0.05125,0.08768656716417911;0.08582089552238806;0.08395522388059702;0.08208955223880597;0.07835820895522388;0.07649253731343283;0.07649253731343283
31.png,0.92431640625;0.08544921875;0.96484375;0.91552734375;0.92626953125;0.16357421875;0.74169921875;0.13330078125;0.62109375;0.53271484375;0.04541015625,0.71435546875;0.93212890625;0.2763671875;0.34814453125;0.85888671875;0.31689453125;0.77685546875;0.88525390625;0.890625;0.68408203125;0.46044921875,0.0595703125;0.0595703125;0.05859375;0.0576171875;0.0556640625;0.0537109375;0.0537109375;0.0537109375;0.052734375;0.0517578125;0.0498046875,0.0595703125;0.0595703125;0.05859375;0.0576171875;0.0556640625;0.0537109375;0.0537109375;0.0537109375;0.052734375;0.0517578125;0.0498046875
32.png,0.43304007820136853;0.13929618768328444;0.2458455522971652;0.41593352883675466;0.039589442815249266;0.6867057673509286;0.05767350928641251,0.8832236842105263;0.9268092105263158;0.696546052631579;0.10773026315789473;0.4942434210526316;0.4449013157894737;0.37993421052631576,0.056695992179863146;0.05571847507331378;0.05571847507331378;0.053763440860215055;0.053763440860215055;0.05180840664711633;0.05083088954056696,0.09539473684210527;0.09375;0.09375;0.09046052631578948;0.09046052631578948;0.08717105263157894;0.08552631578947369
33.png,0.931640625;0.35693359375;0.39892578125;0.03466796875;0.4306640625;0.4287109375;0.662109375;0.3857421875;0.45703125;0.806640625;0.96728515625;0.38720703125,0.7613469985358712;0.8557833089311859;0.8513909224011713;0.8433382137628112;0.5622254758418741;0.6120058565153733;0.48462664714494874;0.35724743777452417;0.7386530014641288;0.835285505124451;0.07979502196193265;0.14275256222547583,0.05859375;0.0576171875;0.0576171875;0.0556640625;0.0546875;0.0546875;0.0546875;0.0546875;0.0546875;0.05078125;0.0498046875;0.0498046875,0.08784773060029283;0.08638360175695461;0.08638360175695461;0.0849194729136164;0.08199121522693997;0.08199121522693997;0.08199121522693997;0.08199121522693997;0.08052708638360176;0.0746705710102489;0.0746705710102489;0.0746705710102489
34.png,0.178125;0.788125;0.783125;0.363125;0.3625;0.415;0.095;0.368125;0.45625;0.46625,0.529375;0.730625;0.088125;0.841875;0.635;0.64375;0.71;0.560625;0.895;0.61625,0.05875;0.05875;0.05875;0.05625;0.055;0.0525;0.0525;0.05125;0.05;0.05,0.05875;0.05875;0.05875;0.05625;0.055;0.0525;0.0525;0.05125;0.05;0.05
35.png,0.900625;0.211875;0.718125;0.5375;0.428125;0.050625;0.864375;0.948125;0.393125;0.96;0.63,0.730625;0.46625;0.850625;0.93875;0.914375;0.859375;0.934375;0.359375;0.3525;0.13375;0.27875,0.05875;0.05875;0.05625;0.055;0.05375;0.05125;0.05125;0.05125;0.05125;0.05;0.05,0.05875;0.0575;0.05625;0.055;0.05375;0.05125;0.05125;0.05125;0.05;0.05;0.05
36.png,0.19921875;0.35400390625;0.65869140625;0.1396484375;0.255859375;0.03369140625;0.33447265625;0.1220703125;0.2939453125;0.38427734375,0.44144144144144143;0.06456456456456457;0.08158158158158157;0.44044044044044045;0.43593593593593594;0.3228228228228228;0.6376376376376376;0.5795795795795796;0.7417417417417418;0.4319319319319319,0.05859375;0.0576171875;0.0576171875;0.056640625;0.056640625;0.0537109375;0.0537109375;0.052734375;0.05078125;0.0498046875,0.06006006006006006;0.05905905905905906;0.05905905905905906;0.05805805805805806;0.057057057057057055;0.055055055055055056;0.05405405405405406;0.05405405405405406;0.05205205205205205;0.05105105105105105
37.png,0.098125;0.6584375;0.2584375;0.2965625;0.585625;0.170625;0.2703125;0.279375,0.6097308488612836;0.36283643892339545;0.2779503105590062;0.37111801242236025;0.33436853002070394;0.6992753623188406;0.18892339544513456;0.7267080745341615,0.05875;0.058125;0.056875;0.055625;0.05375;0.05375;0.053125;0.05125,0.09730848861283643;0.09627329192546584;0.09420289855072464;0.09213250517598344;0.08902691511387163;0.08799171842650104;0.08799171842650104;0.08488612836438923
38.png,0.958125;0.145;0.183125;0.389375;0.13875;0.3375;0.841875;0.6775;0.174375;0.33375;0.1275;0.655,0.831875;0.5925;0.638125;0.640625;0.085;0.51375;0.148125;0.27;0.075625;0.73;0.70125;0.328125,0.05875;0.0575;0.05625;0.05625;0.055;0.055;0.05375;0.0525;0.05125;0.05;0.05;0.05,0.05875;0.0575;0.05625;0.05625;0.055;0.055;0.05375;0.0525;0.05125;0.05;0.05;0.04875
39.png,0.3153125;0.816875;0.0475;0.4059375;0.6828125;0.4128125;0.2625;0.583125,0.3522058823529412;0.3779411764705882;0.6735294117647059;0.6154411764705883;0.5448529411764705;0.14926470588235294;0.8661764705882353;0.38382352941176473,0.059375;0.05625;0.05625;0.055625;0.055625;0.055625;0.055;0.055,0.13970588235294118;0.1323529411764706;0.1323529411764706;0.13088235294117648;0.13088235294117648;0.13088235294117648;0.12941176470588237;0.12941176470588237
40.png,0.6832706766917294;0.08270676691729323;0.631578947368421;0.5272556390977443;0.48214285714285715;0.24154135338345864;0.43890977443609025;0.8402255639097744;0.599624060150376,0.529375;0.5925;0.4375;0.478125;0.155625;0.674375;0.479375;0.94625;0.165,0.05827067669172932;0.05639097744360902;0.05639097744360902;0.05451127819548872;0.05075187969924812;0.05075187969924812;0.05075187969924812;0.04887218045112782;0.04887218045112782,0.03875;0.0375;0.0375;0.03625;0.03375;0.03375;0.03375;0.0325;0.0325
41.png,0.860625;0.2275;0.82875;0.5575;0.046875;0.035625;0.17625;0.79875;0.11375;0.17875,0.910625;0.42875;0.95125;0.960625;0.803125;0.048125;0.39125;0.40875;0.6925;0.745,0.05875;0.055;0.055;0.055;0.05375;0.05375;0.0525;0.0525;0.0525;0.05,0.05875;0.055;0.055;0.05375;0.05375;0.05375;0.0525;0.0525;0.0525;0.05
42.png,0.698125;0.769375;0.180625;0.05875;0.7625;0.389375;0.888125;0.059375;0.910625;0.525;0.03375,0.306875;0.249375;0.031875;0.25;0.416875;0.418125;0.535625;0.915625;0.126875;0.47625;0.96125,0.05875;0.05875;0.05875;0.055;0.055;0.05375;0.05125;0.05125;0.05125;0.05;0.05,0.05875;0.05875;0.05875;0.055;0.05375;0.05375;0.05125;0.05125;0.05125;0.05;0.05
43.png,0.53125;0.90185546875;0.12255859375;0.12158203125;0.87548828125;0.1259765625;0.03515625;0.84033203125;0.796875;0.45263671875;0.61328125;0.193359375,0.21669106881405564;0.3740849194729136;0.8469985358711567;0.7459736456808199;0.7518301610541728;0.5622254758418741;0.20937042459736457;0.62298682284041;0.13323572474377746;0.8484626647144948;0.43484626647144947;0.6881405563689604,0.05859375;0.0576171875;0.0576171875;0.0576171875;0.0556640625;0.0546875;0.0546875;0.0537109375;0.052734375;0.0517578125;0.05078125;0.05078125,0.08784773060029283;0.08638360175695461;0.08638360175695461;0.08638360175695461;0.08345534407027819;0.08199121522693997;0.08199121522693997;0.08052708638360176;0.07906295754026355;0.07759882869692533;0.07613469985358712;0.07613469985358712
44.png,0.3489827856025039;0.812206572769953;0.9139280125195618;0.6901408450704225;0.5625978090766823;0.21517996870109546;0.19874804381846636;0.09154929577464789,0.24944812362030905;0.6931567328918322;0.2229580573951435;0.6412803532008831;0.10264900662251655;0.16556291390728478;0.46578366445916114;0.23289183222958057,0.056338028169014086;0.056338028169014086;0.056338028169014086;0.056338028169014086;0.054773082942097026;0.054773082942097026;0.053208137715179966;0.051643192488262914,0.07947019867549669;0.07947019867549669;0.07947019867549669;0.0772626931567329;0.0772626931567329;0.07505518763796909;0.07505518763796909;0.0728476821192053
45.png,0.22971652003910067;0.07135874877810362;0.9379276637341154;0.23313782991202345;0.3563049853372434;0.4252199413489736;0.1104594330400782;0.7991202346041055;0.31036168132942327;0.2756598240469208,0.5190058479532164;0.7119883040935673;0.7887426900584795;0.7302631578947368;0.12207602339181287;0.5394736842105263;0.8845029239766082;0.6571637426900585;0.21271929824561403;0.7032163742690059,0.05865102639296188;0.056695992179863146;0.05571847507331378;0.05571847507331378;0.05571847507331378;0.05278592375366569;0.05278592375366569;0.05180840664711633;0.05180840664711633;0.05083088954056696,0.08771929824561403;0.0847953216374269;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.07894736842105263;0.07894736842105263;0.07748538011695906;0.07748538011695906;0.07602339181286549
46.png,0.7698561601000625;0.7970606629143214;0.8058161350844277;0.4277673545966229;0.2517198248905566;0.739524702939337;0.4449656035021889;0.8308317698561601;0.9571607254534084;0.23233270794246405;0.05628517823639775;0.31081926203877425,0.7677053824362606;0.42728989612842305;0.19782813975448538;0.5986779981114259;0.34985835694050993;0.12039660056657224;0.7200188857412654;0.8975448536355052;0.12228517469310671;0.8607176581680831;0.9131255901794145;0.720491029272899,0.058786741713570984;0.056910569105691054;0.05565978736710444;0.05378361475922452;0.05315822388993121;0.05315822388993121;0.05315822388993121;0.05190744215134459;0.05190744215134459;0.05065666041275797;0.050031269543464665;0.050031269543464665,0.08876298394711993;0.08593012275731822;0.08404154863078375;0.08120868744098206;0.08026440037771483;0.08026440037771483;0.08026440037771483;0.07837582625118036;0.07837582625118036;0.0764872521246459;0.07554296506137866;0.07554296506137866
47.png,0.38375;0.8325;0.241875;0.935625;0.2575;0.29;0.645625;0.235;0.315;0.889375;0.868125;0.62875,0.75875;0.585;0.178125;0.350625;0.20125;0.595;0.920625;0.08625;0.54625;0.795625;0.533125;0.415,0.0575;0.0575;0.05625;0.05625;0.055;0.055;0.05375;0.0525;0.0525;0.05125;0.05125;0.05,0.0575;0.0575;0.05625;0.05625;0.055;0.055;0.05375;0.0525;0.0525;0.05125;0.05125;0.05
48.png,0.283203125;0.32861328125;0.10693359375;0.24853515625;0.79541015625;0.71044921875;0.74365234375;0.0673828125;0.06689453125;0.52685546875,0.8876953125;0.50830078125;0.73095703125;0.65576171875;0.89501953125;0.45947265625;0.64404296875;0.955078125;0.10986328125;0.02783203125,0.05859375;0.0576171875;0.0576171875;0.0556640625;0.0556640625;0.0537109375;0.0517578125;0.05078125;0.0498046875;0.0498046875,0.05859375;0.0576171875;0.0576171875;0.0556640625;0.0556640625;0.0537109375;0.0517578125;0.05078125;0.0498046875;0.0498046875
49.png,0.1806640625;0.384765625;0.6396484375;0.67236328125;0.5283203125;0.1064453125;0.69775390625;0.43994140625,0.5300146412884333;0.7130307467057101;0.7225475841874085;0.45021961932650073;0.8257686676427526;0.5724743777452416;0.42825768667642755;0.4458272327964861,0.05859375;0.05859375;0.05859375;0.0576171875;0.056640625;0.056640625;0.0556640625;0.0537109375,0.08784773060029283;0.08784773060029283;0.08638360175695461;0.08638360175695461;0.0849194729136164;0.0849194729136164;0.08345534407027819;0.08052708638360176
50.png,0.33447265625;0.85595703125;0.8505859375;0.54931640625;0.9541015625;0.70654296875;0.10205078125;0.20654296875;0.85888671875;0.6513671875;0.61474609375,0.361328125;0.20638020833333334;0.19791666666666666;0.458984375;0.2864583333333333;0.6920572916666666;0.8196614583333334;0.8548177083333334;0.439453125;0.3463541666666667;0.3795572916666667,0.0576171875;0.0576171875;0.056640625;0.0556640625;0.0546875;0.0537109375;0.0537109375;0.0537109375;0.0517578125;0.05078125;0.0498046875,0.07682291666666667;0.07682291666666667;0.07552083333333333;0.07421875;0.07291666666666667;0.07161458333333333;0.07161458333333333;0.07161458333333333;0.06901041666666667;0.06770833333333333;0.06640625
51.png,0.050625;0.283125;0.66625;0.26625;0.66125;0.209375;0.795;0.95375;0.35375;0.6525;0.14625;0.84625,0.964375;0.705625;0.48375;0.81625;0.5275;0.3925;0.46625;0.114375;0.075;0.5;0.5;0.88,0.05875;0.05875;0.0575;0.0575;0.0575;0.05375;0.0525;0.0525;0.05;0.05;0.05;0.05,0.05875;0.05875;0.0575;0.0575;0.0575;0.0525;0.0525;0.05125;0.05;0.05;0.05;0.05
